Seq,id.year,1,2,3,4,5,6,7,8,9,10,11,12
190,H42 Blue_180323_2018.png,0,0,0,0,0,0,0,0,0,0,0,1
191,H42 Blue_180323_2019.png,2,0,0,0,0,0,0,0,0,0,0,0
192,H42 Green_171086_2017.png,0,0,0,0,0,0,0,0,0,0,0,1
193,H42 Green_171086_2018.png,1,1,1,1,1,1,1,1,2,1,1,1
194,H42 Green_171086_2019.png,0,0,0,2,1,0,0,0,0,0,0,0
195,H50 Green_171084_2017.png,0,0,0,0,0,0,0,0,0,0,0,1
196,H50 Green_171084_2018.png,1,1,1,1,1,1,1,2,0,0,0,0
197,H54 Green_180324_2018.png,0,0,0,0,0,0,0,0,0,0,0,1
198,H54 Green_180324_2019.png,1,1,1,1,1,0,0,0,0,0,0,0
199,H57 Green_180325_2018.png,0,0,0,0,0,0,0,0,0,0,0,1
200,H57 Green_180325_2019.png,1,1,1,1,0,0,0,0,0,0,0,0
201,H60 Blue_16124_2017.png,0,0,0,0,0,0,0,0,0,0,0,1
202,H60 Blue_16124_2018.png,1,1,1,1,1,1,1,2,1,1,1,0
203,H60 Blue_16124_2019.png,0,0,0,2,2,0,0,0,0,0,0,0
204,H70 Green_180326_2018.png,0,0,0,0,0,0,0,0,0,0,0,1
205,H70 Green_180326_2019.png,1,1,1,1,1,0,0,0,0,0,0,0
206,H73 Blue_180327_2018.png,0,0,0,0,0,0,0,0,0,0,0,1
207,H73 Blue_180327_2019.png,1,1,1,1,0,0,0,0,0,0,0,0
208,H81 Green_171081_2017.png,0,0,0,0,0,0,0,0,0,2,2,1
209,H81 Green_171081_2018.png,1,1,1,1,1,1,1,1,1,1,1,1
210,H81 Green_171081_2019.png,1,1,1,1,2,0,0,0,0,0,0,0
211,H92 Green_180320_2018.png,0,0,0,0,0,0,0,0,0,0,0,1
212,H92 Green_180320_2019.png,1,1,1,0,0,0,0,0,0,0,0,0
213,H94 Blue_171085_2017.png,0,0,0,0,0,0,0,0,0,0,0,1
214,H94 Blue_171085_2018.png,1,1,1,1,1,1,1,2,2,1,1,1
215,H94 Blue_171085_2019.png,1,1,1,2,1,0,0,0,0,0,0,0
216,Haydi_132084_2014.png,0,0,0,0,0,1,1,1,2,2,1,1
217,Haydi_132084_2015.png,1,1,1,2,2,1,1,1,2,2,1,1
218,Haydi_132084_2016.png,1,1,1,1,1,1,1,1,1,1,0,0
219,Heracles_130676_2013.png,0,0,0,0,0,0,0,1,2,0,0,0
220,Huebra_17021_2017.png,0,0,0,0,1,1,1,1,2,2,1,1
221,Huebra_17021_2018.png,1,2,1,1,1,1,1,1,1,2,1,1
222,Huebra_17021_2019.png,1,2,1,1,1,0,0,0,0,0,0,0
223,Ibrahim_131248_2013.png,0,0,0,0,0,0,0,1,2,0,0,0
224,Igdir_118175_2012.png,0,0,0,0,0,0,0,1,2,2,1,1
225,Igdir_118175_2013.png,1,1,2,1,1,1,1,1,2,2,1,1
226,Igdir_118175_2014.png,1,1,2,1,1,1,1,1,1,2,1,1
227,Igdir_118175_2015.png,1,1,1,0,0,0,0,0,0,0,0,0
228,Ikaros_118145_2012.png,0,0,0,0,0,0,0,2,2,0,0,0
229,Iliaz_118153_2012.png,0,0,0,0,0,0,0,1,2,2,1,1
230,Iliaz_118153_2013.png,1,1,1,1,1,1,1,1,1,1,1,1
231,Iliaz_118153_2014.png,1,1,1,1,1,1,1,1,1,1,1,1
232,Iliaz_118153_2015.png,1,1,1,2,2,2,1,1,1,1,1,1
233,Iliaz_118153_2016.png,1,1,2,2,1,1,1,2,2,1,1,1
234,Iliaz_118153_2017.png,1,1,2,2,1,1,1,1,2,1,1,1
235,Iliaz_118153_2018.png,1,1,2,2,1,1,1,2,2,1,1,1
236,Iliaz_118153_2019.png,1,1,2,2,1,0,0,0,0,0,0,0
237,Ilin_130675_2013.png,0,0,0,0,0,0,0,1,1,1,0,0
238,Ilina_130674_2013.png,0,0,0,0,0,0,0,1,2,1,0,0
239,Iste_132086_2014.png,0,0,0,0,0,1,1,1,2,2,1,1
240,Iste_132086_2015.png,1,1,1,2,1,1,1,1,2,1,1,1
241,Iste_132086_2016.png,1,1,2,2,1,1,1,1,2,2,1,1
242,Iste_132086_2017.png,1,1,2,1,1,1,1,1,2,2,1,1
243,Iste_132086_2018.png,1,1,2,1,1,1,1,1,2,1,1,1
244,Iste_132086_2019.png,1,1,2,1,1,0,0,0,0,0,0,0
245,Jenny_149507_2015.png,0,0,0,0,0,0,1,1,2,1,1,1
246,Jenny_149507_2016.png,1,1,2,2,1,1,1,2,2,1,1,1
247,Jenny_149507_2017.png,1,1,2,2,1,1,1,1,2,1,1,1
248,Jenny_149507_2018.png,1,1,2,1,1,1,1,1,2,1,1,1
249,Jenny_149507_2019.png,1,1,2,2,1,0,0,0,0,0,0,0
250,Kapchug_115_2017.png,0,0,0,0,0,0,1,1,2,0,0,0
251,Karel_119158_2015.png,0,0,0,0,0,0,0,0,1,1,0,0
252,Katerina_130671_2013.png,0,0,0,0,0,0,0,1,2,1,1,1
253,Katerina_130671_2014.png,0,0,0,0,1,1,1,1,0,0,0,0
254,La Rioja 01-Brieva-4404_4404_2016.png,0,0,0,0,0,0,1,1,2,2,1,1
255,La Rioja 01-Brieva-4404_4404_2017.png,1,1,1,1,0,0,0,0,0,0,0,0
256,La Rioja 02-Quel-4405_4405_2016.png,0,0,0,0,0,0,1,1,2,1,1,1
257,La Rioja 02-Quel-4405_4405_2017.png,1,1,1,1,1,1,1,1,1,1,1,1
258,La Rioja 02-Quel-4405_4405_2018.png,1,0,0,0,0,0,0,0,0,0,0,0
259,La Rioja 03 - Lidia -REKI38_48797732417_2018.png,0,0,0,0,0,0,1,1,2,2,2,1
260,La Rioja 03 - Lidia -REKI38_48797732417_2019.png,1,1,1,1,1,0,0,0,0,0,0,0
261,Lazaros_108050_2012.png,0,0,0,0,0,1,1,1,2,1,1,1
262,Lazaros_108050_2013.png,1,1,2,0,0,0,0,0,0,0,0,0
263,Levkipos_118146_2012.png,0,0,0,0,0,0,0,1,2,2,1,1
264,Levkipos_118146_2013.png,1,1,1,1,1,1,1,1,1,1,1,1
265,Levkipos_118146_2014.png,1,1,1,1,1,1,1,1,1,1,1,1
266,Levkipos_118146_2015.png,1,1,1,1,1,1,0,0,0,0,0,0
267,Logiya_118174_2013.png,0,0,0,0,0,0,0,0,0,0,0,1
268,Logiya_118174_2014.png,1,1,1,1,2,2,1,2,2,1,1,1
269,Logiya_118174_2015.png,1,1,1,2,1,1,1,1,2,1,1,1
270,Logiya_118174_2016.png,1,1,1,2,2,1,1,1,2,1,1,1
271,Logiya_118174_2017.png,1,1,1,2,1,1,1,1,2,1,1,1
272,Logiya_118174_2018.png,1,1,2,2,1,1,1,1,2,1,1,1
273,Logiya_118174_2019.png,1,1,2,1,1,0,0,0,0,0,0,0
274,Lomets_118149_2016.png,0,0,0,0,0,0,0,1,2,0,0,0
275,Lucy_182263_2019.png,1,1,1,1,1,0,0,0,0,0,0,0
276,Macedonia_61952_2011.png,0,0,0,0,0,0,0,1,2,0,0,0
277,Malysh_116_2017.png,0,0,0,0,0,0,1,1,2,2,0,0
278,Maria_149504_2016.png,0,0,0,0,0,0,0,1,2,2,0,0
279,Mille_132085_2013.png,0,0,0,0,0,0,0,0,0,0,1,1
280,Mille_132085_2014.png,1,1,1,1,1,1,1,1,1,1,1,1
281,Mille_132085_2015.png,1,1,1,1,1,1,0,0,0,0,0,0
282,Mille_132085_2016.png,0,0,0,0,0,0,0,0,0,0,0,0
283,NeoPer_Bruco_48505470927_2017.png,0,0,0,0,0,0,1,1,2,1,1,1
284,NeoPer_Bruco_48505470927_2018.png,1,0,0,0,0,0,0,0,0,0,0,0
285,NeoPer_Douro_48797733050_2017.png,0,0,0,0,1,1,1,2,2,1,1,1
286,NeoPer_Douro_48797733050_2018.png,1,2,1,1,1,1,1,1,2,1,1,1
287,NeoPer_Douro_48797733050_2019.png,1,2,1,1,1,0,0,0,0,0,0,0
288,NeoPer_Faia_48505476460_2017.png,0,0,0,0,0,1,1,2,2,1,1,1
289,NeoPer_Faia_48505476460_2018.png,1,2,2,1,1,1,1,1,2,1,1,1
290,NeoPer_Faia_48505476460_2019.png,1,1,2,1,1,0,0,0,0,0,0,0
291,NeoPer_Poiares_48797733001_2017.png,0,0,0,0,0,1,1,1,2,2,1,0
292,NeoPer_Poiares_48797733001_2018.png,0,0,0,1,0,0,0,0,0,0,0,0
293,NeoPer_Rupis_48511694900_2016.png,0,0,0,0,0,0,1,1,2,1,1,1
294,NeoPer_Rupis_48511694900_2017.png,1,1,1,2,1,1,1,1,2,1,1,1
295,NeoPer_Rupis_48511694900_2018.png,1,1,2,1,1,1,1,1,2,2,1,1
296,NeoPer_Rupis_48511694900_2019.png,1,1,2,1,1,0,0,0,0,0,0,0
297,Odiseas_118149_2012.png,0,0,0,0,0,0,0,0,1,0,0,0
298,Orada_48500703778_2015.png,0,0,0,0,0,0,1,1,2,1,1,1
299,Orada_48500703778_2016.png,1,1,1,1,2,1,1,1,2,1,1,1
300,Orada_48500703778_2017.png,1,1,0,0,0,0,0,0,0,0,0,0
301,Ossau_2018_Ad_wild_OR17996_PC0_17996_2018.png,0,0,0,1,1,1,1,1,2,1,1,1
302,Ossau_2018_Ad_wild_OR17996_PC0_17996_2019.png,1,2,2,1,1,0,0,0,0,0,0,0
303,Panteley_171360_2018.png,0,0,0,0,1,1,1,1,2,2,2,1
304,Panteley_171360_2019.png,1,1,1,1,2,0,0,0,0,0,0,0
305,Paschalis_130670_2013.png,0,0,0,0,0,0,0,1,2,1,1,1
306,Paschalis_130670_2014.png,1,1,1,0,0,0,0,0,0,0,0,0
307,Polya_171356_2018.png,0,0,0,0,1,1,1,1,1,2,2,1
308,Polya_171356_2019.png,1,1,1,1,1,0,0,0,0,0,0,0
309,Provence_2016_Ad_wild_EO5018_Salomé_8P_5018_2016.png,0,0,0,0,0,0,0,0,1,1,0,0
310,Provence_2016_Ad_wild_EO5018_Salomé_8P_5018_2017.png,0,0,1,1,1,1,1,2,1,1,1,1
311,Provence_2016_Ad_wild_EO5018_Salomé_8P_5018_2018.png,1,1,2,2,1,1,2,2,1,1,1,1
312,Provence_2016_Ad_wild_EO5018_Salomé_8P_5018_2019.png,1,1,2,1,1,0,0,0,0,0,0,0
313,Pyrenees_2015_Imm_wild_EC48601087785_48601087785_2015.png,0,0,0,0,0,1,1,1,1,1,1,1
314,Pyrenees_2015_Imm_wild_EC48601087785_48601087785_2016.png,0,0,1,1,1,1,1,1,2,1,1,0
315,Qero_182266_2019.png,1,1,1,1,1,0,0,0,0,0,0,0
316,R0_16013_2016.png,0,0,0,1,1,1,1,1,2,1,0,0
317,R1_16012_2016.png,0,0,0,1,1,1,1,1,2,1,1,1
318,R1_16012_2017.png,1,1,1,1,1,1,1,1,1,1,1,1
319,R1_16012_2018.png,1,1,1,1,1,0,0,0,0,0,0,0
320,R2_16015_2016.png,0,0,0,1,1,1,1,2,2,2,1,1
321,R2_16015_2017.png,1,1,1,1,1,1,1,1,1,1,1,1
322,R3_16011_2016.png,0,0,0,1,0,0,0,0,0,0,0,0
323,R4_16014_2016.png,0,0,0,1,1,0,0,0,0,0,0,0
324,Red Cliff_130673_2013.png,0,0,0,0,0,0,0,1,2,0,0,0
325,Regina_149506_2016.png,0,0,0,0,0,0,0,1,2,0,0,0
326,Sanie_131249_2013.png,0,0,0,0,0,0,0,1,2,2,1,1
327,Sanie_131249_2014.png,1,1,1,1,1,1,1,1,1,1,1,1
328,Sanie_131249_2015.png,1,1,1,1,2,2,2,2,2,1,1,1
329,Sanie_131249_2016.png,1,1,1,2,2,1,1,2,2,1,0,0
330,Sara_23306_2015.png,0,0,0,0,0,0,0,1,2,1,1,1
331,Sara_23306_2016.png,1,1,1,1,1,1,1,1,1,1,1,1
332,Sara_23306_2017.png,1,1,1,1,2,1,1,2,1,1,1,1
333,Sara_23306_2018.png,1,1,1,2,2,1,1,2,1,1,1,1
334,Sara_23306_2019.png,1,1,2,2,2,0,0,0,0,0,0,0
335,Sarygush_117_2017.png,0,0,0,0,0,0,1,1,2,1,0,0
336,Segev-Shalom 2019 I00_190588_2019.png,0,0,0,1,0,0,0,0,0,0,0,0
337,Serhat_10007_2014.png,0,0,0,0,0,1,1,1,2,2,1,1
338,Sharka_182256_2019.png,0,0,0,0,1,0,0,0,0,0,0,0
339,Spartacus_61952_2010.png,0,0,0,0,0,0,0,1,2,2,2,1
340,Spartacus_61952_2011.png,1,0,0,0,0,0,0,0,0,0,0,0
341,Svetlina_118152_2012.png,0,0,0,0,0,0,0,1,2,2,2,1
342,Svetlina_118152_2013.png,1,1,1,1,1,1,1,1,1,1,1,1
343,Svetlina_118152_2014.png,1,1,1,1,1,1,1,1,1,0,0,0
344,Tlalim C48 Blue_171405_2019.png,0,0,1,1,1,0,0,0,0,0,0,0
345,Tobia_48500501945_2015.png,0,0,0,0,0,0,0,0,2,2,1,1
346,Tobia_48500501945_2016.png,1,1,1,1,1,1,1,1,1,1,1,1
347,Tobia_48500501945_2017.png,1,1,1,1,1,1,1,1,1,1,1,1
348,Tobia_48500501945_2018.png,1,1,1,1,2,1,1,2,2,1,1,1
349,Tobia_48500501945_2019.png,1,1,1,1,2,0,0,0,0,0,0,0
350,Tuzluca_209_2013.png,0,0,0,0,0,1,1,2,2,1,1,1
351,Tuzluca_209_2014.png,1,1,1,2,1,1,1,1,2,1,1,1
352,Tuzluca_209_2015.png,1,1,2,2,1,1,1,1,2,1,1,1
353,Tuzluca_209_2016.png,1,1,2,2,1,1,1,1,2,2,0,0
354,Volen_118148_2012.png,0,0,0,0,0,0,0,1,2,1,1,1
355,Volen_118148_2013.png,1,1,1,1,1,1,1,1,1,1,1,1
356,Volen_118148_2014.png,1,1,1,1,2,2,1,1,2,0,0,0
357,Wesal_182264_2019.png,0,0,0,1,1,0,0,0,0,0,0,0
358,White 08_119246_2013.png,0,0,1,1,1,1,1,1,0,0,0,0
359,White 12_119245_2013.png,0,0,1,1,1,1,1,1,2,1,1,1
360,White 12_119245_2014.png,1,1,1,1,2,2,1,1,1,1,1,1
361,White 12_119245_2015.png,1,1,1,2,1,2,1,1,1,1,1,1
362,X34 Blue_16126_2017.png,0,0,0,1,1,1,1,1,1,2,1,1
363,X34 Blue_16126_2018.png,1,1,1,1,2,1,1,2,0,0,0,0
364,X86 Blue_180321_2018.png,0,0,0,0,0,0,0,0,0,0,0,1
365,X86 Blue_180321_2019.png,1,0,0,0,0,0,0,0,0,0,0,0
366,Yellow 04_119246_2013.png,0,0,0,0,0,0,0,0,0,0,1,1
367,Yellow 04_119246_2014.png,1,1,1,1,1,1,1,1,1,1,1,1
368,Yellow 04_119246_2015.png,1,1,1,1,1,0,0,0,0,0,0,0
369,Zikmund_171349_2018.png,0,0,0,0,0,0,0,1,1,0,0,0
