Serial,id.tag,species,study.name,population,id,tag,start.date,end.date,mortality.date,start.lat,start.long,end.lat,end.long,start.country,end.country,deployment.duration,fate,age.at.deployment.months,sex,migrant,captive.raised,rehabilitated,how.fate.determined,cause.of.death,transmitter.make.model,transmitter.attachment.method,transmitter.mass.grams,comments,mean.GPS.dist.last10fixes,mean.GPS.fixrate.last10fixes,start.country.quant,end.country.quant,n.locs,origin,deployment.duration.months,age.at.fate.months,age.at.fate.simple,population.binned,fate.binned,fate.at.annual.stage
1,00 White 2013_3515,Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,00 White 2013,3515,04-04-14,5/29/19,5/30/19 5:10,32.75214,35.01343,34.4060907,38.2296871,Israel,Sudan,2023.312407,confirmed transmitter failure,11,unknown,Y,Y,N,resighted / recaptured,NA,"e-obs, Bird Solar GPS-GSM, 48g",backpack,48,"Transmitter fell, seen alive June 2020",0.928608666,2.00000463,Israel,Syrian Arab Republic,1850,Y,61,72,adult,Middle East,tx failure,non-breeding
2,18 White_3516,Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,18 White,3516,4/22/14,4/26/14,4/27/14 4:00,32.75345,35.01381,32.7702775,34.9914223,Israel,Israel,5,unknown,11,unknown,Y,Y,N,unknown,NA,"e-obs, Bird Solar GPS-GSM, 48g",backpack,48,NA,0.020109449,1,Israel,Israel,5,Y,0,11,juvenile,Middle East,unknown,breeding
3,19 White_3517,Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,19 White,3517,4/22/14,8/25/14,8/26/14 0:00,32.75347,35.0138,19.5421079,41.3889553,Israel,Saudi Arabia,127,likely dead,10,unknown,Y,Y,N,inferred from transmissions,NA,"e-obs, Bird Solar GPS-GSM, 48g",backpack,48,NA,0.620276005,1,Israel,Saudi Arabia,124,Y,4,14,juvenile,Middle East,dead,fall migration
4,A02 Green 2013_3514,Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,A02 Green 2013,3514,04-04-14,4/23/17,4/24/17 5:00,32.7520933,35.0134463,33.2331372,35.5365667,Israel,Israel,1116,unknown,10,unknown,Y,Y,N,unknown,NA,"e-obs, Bird Solar GPS-GSM, 48g",backpack,48,NA,0.963723177,1,Israel,Lebanon,1107,Y,36,46,adult,Middle East,unknown,breeding
5,A17 Green_17113,Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,A17 Green,17113,4/16/17,07-03-17,07-04-17 0:06,32.55932,34.93855,32.55893326,34.93917465,Israel,Israel,79.00068287,confirmed dead,23,unknown,Y,Y,N,transmitter recovered,Hit a train when feeding on a dead boer,Ornitela OT-30,legloop,30,NA,0.000557883,1.000002315,Israel,Israel,79,Y,2,25,adult,Middle East,dead,breeding
6,A25 Green_171087,Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,A25 Green,171087,12/13/17,4/21/18,4/22/18 2:37,32.7523,35.01339,32.75220108,35.0137291,Israel,Israel,130.1057292,unknown,21,unknown,Y,Y,N,unknown,NA,Ornitela OT-30,legloop,30,NA,0.002168162,0.999170139,Israel,Israel,130,Y,4,25,adult,Middle East,unknown,breeding
7,A46 Green_17112,Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,A46 Green,17112,4/16/17,05-10-18,05-11-18 1:40,32.55895,34.9392,37.73613739,41.32781982,Israel,Turkey,390.0661458,confirmed dead,24,unknown,Y,Y,N,transmitter recovered,Electrocuted,Ornitela OT-30,legloop,30,NA,0.48546366,0.998334491,Israel,Turkey,390,Y,12,36,adult,Middle East,dead,breeding
8,A47 Green_171082,Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,A47 Green,171082,12/13/17,8/23/18,8/24/18 2:32,32.75226,35.01337,12.97405624,43.71961975,Israel,Yemen,253.9352546,unknown,7,unknown,Y,Y,N,unknown,NA,Ornitela OT-30,legloop,30,NA,1.015137198,1.000331019,Israel,Yemen,254,Y,8,15,juvenile,Middle East,unknown,fall migration
9,Agata_119157,Neophron percnopterus,Released Egyptian Vultures in Italy,italy,Agata,119157,8/26/15,8/29/15,8/30/15 0:00,37.39733,13.36967,37.84917,12.596,Italy,Italy,8,confirmed dead,3,F,Y,Y,N,terminated over water,Drop in the sea,Microwave Solar Argos/GPS PTT,backpack,NA,NA,0.491562866,1,Italy,Italy,4,Y,0,3,juvenile,Balkans & Italy,dead,fall migration
10,Agri_130662,Neophron percnopterus,Egyptian vultures in the Middle East and East Africa,caucasus,Agri,130662,6/22/13,7/15/14,7/19/14 14:00,40.08083,43.667,39.78467,43.24817,Turkey,Turkey,388.875,likely transmitter failure,54,unknown,Y,N,N,unknown,NA,Microwave 45g Argos/GPS Solar PTTs,backpack,45,NA,0.00013069,3.458333333,Turkey,Turkey,322,N,12,66,adult,Middle East,tx failure,breeding
11,Akaga_171362,Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Akaga,171362,5/16/18,5/30/19,5/30/19 6:19,41.59422,25.64131,12.42760849,40.24209213,Bulgaria,Ethiopia,531.0727431,unknown,11,unknown,Y,Y,N,NA,NA,Ornitela,backpack,30,NA,0.238178963,1.000638889,Bulgaria,Ethiopia,380,Y,12,23,adult,Balkans & Italy,unknown,non-breeding
12,Akev I11 Red_190598,Neophron percnopterus,Egyptian Vulture wild-birds Israel,middle east,Akev I11 Red,190598,7/17/19,09-01-19,09-03-19 0:00,30.81602287,34.82748795,30.74139977,32.32299805,Israel,Egypt,48.32475694,confirmed dead,2,unknown,Y,N,N,carcass found,Hit electric wire,Ornitela OT-30,legloop,30,"Confirmed dead by collaborators, but the transmitteer was never returned",0.521024705,1.14971875,Israel,Egypt,38,N,1,3,juvenile,Middle East,dead,fall migration
13,Amud_L 2019 I12 Red_190601,Neophron percnopterus,Egyptian Vulture wild-birds Israel,middle east,Amud_L 2019 I12 Red,190601,7/28/19,10-03-19,10/31/20 0:00,32.89109802,35.5013504,18.89858246,41.89468002,Israel,Saudi Arabia,66.94175926,unknown,3,unknown,Y,N,N,,,Ornitela OT-30,legloop,30,NA,1.047315374,0.998891204,Israel,Saudi Arabia,46,N,2,5,juvenile,Middle East,unknown,fall migration
14,Amud_S 2019 I17 Red_190602,Neophron percnopterus,Egyptian Vulture wild-birds Israel,middle east,Amud_S 2019 I17 Red,190602,7/28/19,10/13/19,10-01-20 0:00,32.89113998,35.50127411,15.99001312,24.38068962,Israel,Sudan,76.98403935,confirmed dead,3,unknown,Y,N,N,carcass found,Caught and trasnferred to rehab but did not make it,Ornitela OT-30,legloop,30,NA,7.82E-05,1.000090278,Israel,Sudan,51,N,2,5,juvenile,Middle East,dead,fall migration
15,Anahita_200640,Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Anahita,200640,08-06-20,9/15/20,9/16/20 0:00,41.61692,25.65063,36.81611252,36.31757355,Bulgaria,Lebanon,84.65621528,confirmed dead,2,unknown,Y,N,N,found alive,Shot,Ornitela,legloop,30,The bird was shot in Lebanon but found by our partners there and currently is under rehabilitation,1.433000747,0.998429398,Bulgaria,Turkey,40,N,1,3,juvenile,Balkans & Italy,dead,fall migration
16,Andi_182261,Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Andi,182261,5/15/19,8/26/20,10/31/20 0:00,41.5944,25.64131,14.46278954,27.01890755,Bulgaria,NA,469.1234722,unknown,11,M,Y,Y,N,NA,NA,Ornitela,backpack,30,,0.367542291,0.999744213,Bulgaria,Sudan,376,Y,15,26,adult,Balkans & Italy,unknown,non-breeding
17,Aneta_48500502206,Neophron percnopterus,Released Egyptian Vultures in Italy,italy,Aneta,48500502206,09-07-15,9/24/15,9/24/15 0:00,39.10625,16.89193,36.762,14.844466,Italy,Egypt,25.99930556,confirmed dead,3,F,Y,Y,N,terminated over water,Drop in the sea,Ecotone Saker,backpack,35,NA,0.363247062,1,Italy,Italy,18,Y,0,3,juvenile,Balkans & Italy,dead,fall migration
18,Anna_171348,Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Anna,171348,08-10-18,9/14/18,9/15/18 0:01,41.63583,25.85589,37.0435791,34.6774826,Bulgaria,Turkey,35.96383102,confirmed dead,2,F,Y,Y,N,resighted / recaptured,exhaustion,Ornitela,backpack,30,"would have died of exhaustion, but recaptured",1.282242571,0.999195602,Bulgaria,Turkey,34,Y,1,3,juvenile,Balkans & Italy,dead,fall migration
19,Apollo_16093,Neophron percnopterus,Released Egyptian Vultures in Italy,italy,Apollo,16093,7/24/17,9/26/17,9/27/17 4:48,40.24659,16.10241,34.53761673,9.782464981,Italy,Algeria,64.23530093,unknown,15,M,Y,Y,N,unknown,NA,Ornitela 2G,backpack,25,NA,0.25023193,1.000833333,Italy,Tunisia,60,Y,2,17,juvenile,Balkans & Italy,unknown,fall migration
20,Aras_118176,Neophron percnopterus,Egyptian vultures in the Middle East and East Africa,caucasus,Aras,118176,8/18/12,02-04-13,02-04-13 1:00,40.12183,43.5835,10.1725,40.24533,Turkey,Ethiopia,169.5,unknown,26,unknown,Y,N,N,unknown,NA,Microwave 45g Argos/GPS Solar PTTs,backpack,45,NA,0.067342128,1,Turkey,Ethiopia,163,N,5,31,adult,Middle East,unknown,non-breeding
21,Arda_118147,Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Arda,118147,8/17/12,12/31/12,01-01-13 0:00,41.64133,25.8815,10.79567,28.50917,Bulgaria,Sudan,199.5833333,likely dead,2,unknown,Y,N,N,inferred from transmissions,unknown,Microwave satellite,backpack,45,The bird died on 29.12.2012. Since then it is transmitting from the same location,0.05390278,1,Bulgaria,Sudan,133,N,4,6,juvenile,Balkans & Italy,dead,non-breeding
22,Ardahan_210,Neophron percnopterus,Egyptian vultures in the Middle East and East Africa,caucasus,Ardahan,210,6/22/13,9/16/14,9/17/14 0:27,40.07148,43.66676,18.66377,41.71488,Turkey,Saudi Arabia,451.9668403,likely transmitter failure,54,unknown,Y,N,N,inferred from transmissions,NA,Microwave 30g GSM,backpack,30,GSM transmitter went offline in area previosuly known to loose signal,2.281651043,1.000780093,Turkey,Saudi Arabia,449,N,14,68,adult,Middle East,tx failure,fall migration
23,Armenia2_48500703868,Neophron percnopterus,Egyptian vultures in the Middle East and East Africa,caucasus,Armenia2,48500703868,7/22/15,10/18/15,10/18/15 0:01,39.491799,46.35705,7.746899,43.0665,Armenia,Ethiopia,87.79166667,unknown,25,unknown,Y,N,N,unknown,NA,Ecotone Saker-M 19g Solar GSM,backpack,19,NA,0.439060229,1,Armenia,Ethiopia,89,N,2,27,adult,Middle East,unknown,non-breeding
24,Armenia3_48500704009,Neophron percnopterus,Egyptian vultures in the Middle East and East Africa,caucasus,Armenia3,48500704009,7/24/15,11-06-15,11-07-15 0:02,39.5061,46.345799,6.094516,44.7678,Armenia,Ethiopia,105,unknown,54,unknown,Y,N,N,unknown,NA,Ecotone Saker-M 19g Solar GSM,backpack,19,NA,0.268570708,1.125138889,Armenia,Ethiopia,90,N,3,57,adult,Middle East,unknown,non-breeding
25,Arpacay_118174,Neophron percnopterus,Egyptian vultures in the Middle East and East Africa,caucasus,Arpacay,118174,8/20/12,9/25/12,9/26/12 0:00,40.123,43.60117,33.23983,44.96333,Turkey,Iraq,35.33333333,confirmed dead,26,unknown,Y,N,N,resighted / recaptured,"emaciation on migration, although potentially poisoned or collision. Not entirely sure",Microwave 45g Argos/GPS Solar PTTs,backpack,45,NA,0.788844137,1.1,Turkey,Iraq,29,N,1,27,adult,Middle East,dead,fall migration
26,Asparuh_131250,Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Asparuh,131250,8/14/13,09-09-13,09-10-13 0:00,41.6255,25.89517,37.37717,21.8925,Bulgaria,NA,28.70833333,confirmed dead,2,unknown,Y,N,N,terminated over water,drowned,Microwave satellite,backpack,45,track ends in sea,1.280957455,1.004166667,Bulgaria,Greece,27,N,0,2,juvenile,Balkans & Italy,dead,fall migration
27,Azahar 75657_75657,Neophron percnopterus,Egyptian vulture EB Terra Natura UA Spain,western europe,Azahar 75657,75657,08-10-07,11-08-13,11-08-13 6:00,40.23383,-0.61467,16.93917,-14.44367,Spain,Mauritania,2281.916667,confirmed dead,54,F,Y,N,N,carcass found,unknown,solar-powered GPS Microwave telemetry ,backpack,45,NA,0.26853963,1.025,Spain,Mauritania,1932,N,74,128,adult,Western Europe,dead,non-breeding
28,Basque_2019_Imm_wild_OR171005_PM0_171005,Neophron percnopterus,Egyptian vulture Kobierzycki Pyrenees ID_PROG 457,western europe,Basque_2019_Imm_wild_OR171005_PM0,171005,7/18/19,09-09-19,09-10-19 0:00,43.14750671,-1.29905498,36.16388321,-5.514261723,France,Morroco,52.97891204,likely dead,1,unknown,Y,N,N,inferred from transmissions,NA,Ornitela OT-30-3GC,legloop,30,Pulli in the nest 18/07/2019 Munhoa,1.239029741,1.000555556,France,NA,25,N,1,2,juvenile,Western Europe,dead,fall migration
29,Basque_2020_Imm_wild_OR180109_PR9_180109,Neophron percnopterus,Egyptian vulture Kobierzycki Pyrenees ID_PROG 457,western europe,Basque_2020_Imm_wild_OR180109_PR9,180109,7/31/20,9/24/20,9/25/20 0:00,43.11460876,-1.083263278,35.33777237,-5.488054752,France,Morroco,54.7269213,unknown,1,unknown,Y,N,N,NA,NA,Ornitela OT-30-3GC,legloop,30,Juvenile tagged inthe nest 31/07/2020,1.454614689,0.998846065,France,Morocco,56,N,1,2,juvenile,Western Europe,unknown,fall migration
30,Beatrice_AF5AF11F,Neophron percnopterus,ISPRA,italy,Beatrice,AF5AF11F,08-10-19,8/18/19,8/19/19 0:00,40.6772,16.5969,40.6395,16.659,Italy,Italy,7.647430556,unknown,26,F,Y,Y,N,unknown,unknown,Milsar GsmRadio Tag-M9,backpack,16,NA,0.009268982,0.993185442,Italy,Italy,9,Y,0,26,adult,Balkans & Italy,unknown,breeding
31,Belgin_171346,Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Belgin,171346,08-09-18,9/17/18,9/18/18 0:17,41.63591,25.85634,38.14328766,28.8684864,Bulgaria,Turkey,39.93148148,likely dead,2,unknown,Y,N,N,inferred from transmissions,drowned,Ornitela,backpack,30,track ends in sea,0.724600656,1.000023148,Bulgaria,Turkey,40,N,1,3,juvenile,Balkans & Italy,dead,fall migration
32,Berenice_130672,Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Berenice,130672,08-02-13,09-08-13,09-09-13 12:00,39.8,21.68933,34.2145,23.16867,Greece,NA,36.95833333,confirmed dead,2,unknown,Y,N,N,terminated over water,drowned,Microwave satellite,backpack,45,track ends in sea,0.816405146,1.0375,Greece,NA,35,N,1,3,juvenile,Balkans & Italy,dead,fall migration
33,Bianca_IHB_AF5AF11F,Neophron percnopterus,ISPRA,italy,Bianca_IHB,AF5AF11F,8/16/18,09-11-18,09-12-18 5:00,40.6451833,16.66185,37.6823367,12.6137,Italy,Italy,26.83435185,confirmed dead,2,F,Y,Y,N,carcass found,shot / persecuted,Milsar GsmRadio Tag-M9,backpack,16,X rays revealed many gunshot in the carcass,0.762305986,1.000019676,Italy,NA,24,Y,0,2,juvenile,Balkans & Italy,dead,fall migration
34,Blanka_171345,Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Blanka,171345,08-02-18,10-08-18,10-09-18 0:00,41.64997,25.84464,11.79960632,41.72454453,Bulgaria,Ethiopia,77.7497338,confirmed dead,2,F,Y,Y,N,carcass found,probably injured by people/animals and suffered to death,Ornitela,backpack,30,The bird died on 21.10 in the morning,0.818655736,1.000010417,Bulgaria,Ethiopia,68,Y,2,4,juvenile,Balkans & Italy,dead,non-breeding
35,Bruco_48505470927,Neophron percnopterus,LIFE_Rupis_EgyptianVultures,western europe,Bruco,48505470927,7/20/17,01-04-18,01-04-18 6:00,41.19502,-6.680866,13.897483,-9.689316,Spain,Mali,168,likely dead,37,M,Y,N,N,unknown,NA,Ecotone SAKER H LF,backpack,35,Fate unknown - data stopped transmitting in south-central Mali,0.066385515,1,Spain,Mali,164,N,5,42,adult,Western Europe,dead,non-breeding
36,C39 Blue_17111,Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,C39 Blue,17111,4/16/17,7/22/18,7/23/18 2:20,32.5589,34.93943,32.55886078,34.93918991,Israel,Israel,463.0940509,confirmed dead,24,unknown,Y,Y,N,transmitter recovered,Hit a train when feeding on a dead boer,Ornitela OT-30,legloop,30,NA,0.000124782,1.000471065,Israel,Israel,463,Y,15,39,adult,Middle East,dead,breeding
37,Cabuk_132087,Neophron percnopterus,Egyptian vultures in the Middle East and East Africa,caucasus,Cabuk,132087,07-01-14,12-07-15,12-08-15 2:00,40.0833,43.6676,11.0731,40.3362,Turkey,Ethiopia,523.9583218,likely dead,13,unknown,Y,N,N,inferred from transmissions,NA,Northstar 30g Argos/GPS Solar PTTs,backpack,30,NA,0.173287127,1,Turkey,Ethiopia,522,N,17,30,adult,Middle East,dead,non-breeding
38,Calimera 75659_75659,Neophron percnopterus,Egyptian vulture EB Terra Natura UA Spain,western europe,Calimera 75659,75659,7/30/09,7/26/11,7/26/11 12:00,40.78217,-2.17733,40.8285,-1.86067,Spain,Spain,725.7083333,unknown,54,F,Y,N,N,unknown,NA,solar-powered GPS Microwave telemetry ,backpack,45,NA,0.157716696,1.425,Spain,Spain,599,N,23,77,adult,Western Europe,unknown,breeding
39,Calimero 89731_89731,Neophron percnopterus,Egyptian vulture EB Terra Natura UA Spain,western europe,Calimero 89731,89731,7/30/09,8/29/12,8/29/12 0:00,40.7845,-2.20067,40.78617,-2.20033,Spain,Spain,1126,likely dead,54,M,Y,N,N,unknown,NA,solar-powered GPS Microwave telemetry ,backpack,45,NA,0.117368329,1.8,Spain,Spain,863,N,36,90,adult,Western Europe,dead,breeding
40,Camaces_17017,Neophron percnopterus,Egyptian vulture (Neophron percnopterus) in Arribes del Duero (Salamanca) - SALORO,western europe,Camaces,17017,7/31/17,09-08-17,09-11-17 2:12,41.00911331,-6.743571758,37.9450798,-6.836569786,Spain,Morocco,38.58157407,unknown,1,F,Y,N,N,unknown,NA,"Ornitela ""OrniTrack‚Äê30 solar GPS‚ÄêGSM""",backpack,30,The animal was in a very bad body condition when it was marked. Surely this prevented him from surviving the conditions of the migratory trip when crossing the desert. The team responsible for marking has always ruled out any relationship with that power line.,0.504613255,0.998958333,Spain,Spain,23,N,1,2,juvenile,Western Europe,unknown,fall migration
41,Carmen_48500501963,Neophron percnopterus,Released Egyptian Vultures in Italy,italy,Carmen,48500501963,09-07-15,10/17/15,10/17/15 0:00,39.10623,16.8919,36.840683,14.599466,Italy,Italy,110.9993056,confirmed dead,3,F,Y,Y,N,terminated over water,unknown,Ecotone Saker,backpack,35,looks to have died at see and tx floated long after,0.410932861,1,Italy,NA,41,Y,1,4,juvenile,Balkans & Italy,dead,fall migration
42,Castor_135955,Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Castor,135955,5/14/14,2/15/16,2/15/16 1:00,40.62333,21.51933,6.76017,42.83233,Greece,Ethiopia,641.5833333,unknown,54,unknown,Y,N,Y,unknown,unknown,Microwave satellite,backpack,45,tagged after found disorientated due to lead poisoning,0.01079245,1,Greece,Ethiopia,643,N,21,75,adult,Balkans & Italy,unknown,non-breeding
43,Causses_2018_Imm_wild_OR171075_4X_171075,Neophron percnopterus,Egyptian vulture in France (grands Causses-Baronnies)  ID_PROG 961,western europe,Causses_2018_Imm_wild_OR171075_4X,171075,04-05-18,11/18/19,11/19/19 0:00,44.20375443,3.255665064,32.93344116,1.835491657,France,Algeria,591.5345023,likely dead,22,unknown,Y,N,Y,inferred from transmissions,NA,Ornitela OT-30-3GC,legloop,30,"born wild in Gorges de la Dourbie, found weakened in Sept 2017. released in sept 2017, found again. Kept in captivity and rehabilitated the whole winter 2017-2018. released 05/04/2018. recovered again in Dourbie Canyon on 16 May 2018. ",0.56647336,0.998688657,France,Algeria,587,N,19,41,adult,Western Europe,dead,non-breeding
44,Cirila 89730_89730,Neophron percnopterus,Egyptian vulture EB Terra Natura UA Spain,western europe,Cirila 89730,89730,7/30/09,5/14/13,5/14/13 0:00,40.7375,-2.4555,40.7455,-2.448,Spain,Spain,1384,likely dead,54,F,Y,N,N,unknown,NA,solar-powered GPS Microwave telemetry ,backpack,45,NA,0.023614111,3,Spain,Spain,898,N,45,99,adult,Western Europe,dead,breeding
45,Clara_IHC_NA,Neophron percnopterus,ISPRA,italy,Clara_IHC,NA,8/16/18,09-07-18,09-08-18 6:00,40.64519,16.6618667,37.5633167,13.1529,Italy,Tunisia,22.85444444,confirmed dead,2,F,Y,Y,N,carcass found,poisoning,Milsar GsmRadio Tag-M9,backpack,16,"Probably poisoned. The carcass showed clear signs of convulsions (fethers abraded, turned nek and open beak)",0.638680971,1.004190972,Italy,Italy,23,Y,0,2,juvenile,Balkans & Italy,dead,fall migration
46,Covas-95R_5019,Neophron percnopterus,Neophron percnopterus. GREFA. Spain,western europe,Covas-95R,5019,7/26/16,7/31/17,08-01-17 0:00,42.33044,-7.284108,15.220856,-4.696387,Spain,Mauritania,536.4996065,likely dead,2,M,Y,N,N,inferred from transmissions,NA,e-obs Bird GSM solar,backpack,48,"suspected mortality, same location for a long time",0.012273822,1,Spain,Mali,342,N,12,14,juvenile,Western Europe,dead,non-breeding
47,David I03 Red_190591,Neophron percnopterus,Egyptian Vulture wild-birds Israel,middle east,David I03 Red,190591,08-04-19,01-04-20,01-05-20 0:00,31.47242165,35.37385941,13.1573,16.53957939,Israel,Chad,152.8965972,confirmed dead,3,unknown,Y,N,N,transmitter recovered,Probably natural,Ornitela OT-30,legloop,30,Found dead in a dried-out natural drinking pool. No sighns of human cause of death,0.383045249,1.000722222,Israel,Chad,153,N,5,8,juvenile,Middle East,dead,non-breeding
48,Dobromir_118150,Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Dobromir,118150,8/16/12,9/24/16,9/24/16 2:00,43.14567,27.63883,14.50783,30.302,Bulgaria,Sudan,1499.333333,unknown,2,unknown,Y,N,N,unknown,shot,Microwave satellite,backpack,45,probably killed but no evidence could be obtained. Last locations from inside a village,0.583417938,1,Bulgaria,Sudan,1490,N,49,51,adult,Balkans & Italy,unknown,fall migration
49,Douro_48797733050,Neophron percnopterus,LIFE_Rupis_EgyptianVultures,western europe,Douro,48797733050,6/13/17,05-03-19,05-07-19 6:01,40.9598,-6.833833,40.925666,-6.693199,Spain,Spain,689,confirmed transmitter failure,54,M,Y,N,N,resighted / recaptured,NA,Ecotone SKUA H LF,backpack,35,Transmitter confirmed detached on 7th May 2019_Bird resighted a couple of days later incubating alive and well https://www.4vultures.org/2019/05/28/the-mystery-of-egyptian-vulture-douro-s-lost-gps-transmitter/,0.063626412,1,Spain,Spain,683,N,22,76,adult,Western Europe,tx failure,breeding
50,Ein-Ovdat1 I09 Red_190596,Neophron percnopterus,Egyptian Vulture wild-birds Israel,middle east,Ein-Ovdat1 I09 Red,190596,7/17/19,09-07-20,10/31/20 0:00,30.82795715,34.76644516,15.10569668,18.93833923,Israel,Chad,418.5150463,unknown,2,unknown,Y,N,N,,,Ornitela OT-30,legloop,30,NA,0.526859513,7.53500463,Israel,Chad,358,N,13,15,juvenile,Middle East,unknown,non-breeding
